brand,product_line,record_scope,nominal_shade,measured_vlt_pct,vlr_exterior_pct,vlr_interior_pct,uv_rejection,tser_pct,tser_range,glare_reduction_pct,ir_primary_metric,ir_primary_value,ir_primary_wavelength_nm,ir_secondary_metric,ir_secondary_value,ir_secondary_wavelength_nm,solar_transmittance_pct,solar_reflectance_pct,solar_absorbance_pct,shading_coefficient,shgc,thickness_mil,construction,warranty,substrate,test_standard,source_kind,source_url,source_date,verified_at,data_status,notes
Ceramic Pro / KAVACA,Ceramic IR,shade,45,46,,,99.9,49,,48,IR Rejection,93,,,,,,,,,,,nano-ceramic,,,,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic IR,shade,55,53,,,99.9,49,,43,IR Rejection,91,,,,,,,,,,,nano-ceramic,,,,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic IR,shade,70,70,,,99.9,44,,25,IR Rejection,88,,,,,,,,,,,nano-ceramic,,,,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,5,5,,,99.9,69,,95,IR Rejection,99,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,15,16,,,99.9,67,,84,IR Rejection,98,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,30,30,,,99.9,65,,77,IR Rejection,98,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,35,36,,,99.9,63,,61,IR Rejection,98,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,45,45,,,99.9,61,,50,IR Rejection,98,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,55,56,,,99.9,58,,45,IR Rejection,97,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,70,66,,,99.9,56,,27,IR Rejection,96,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ultimate IR,shade,80,74,,,99.9,53,,26,IR Rejection,95,,,,,,,,,,,advanced nano-ceramic,,"1/8"" (3mm) glass",ASTM & AIMCAL,manufacturer_web,https://ceramicpro.com/ultimate-ir/,,2026-08-12,verified,
KDX,Cosmic IR,shade,5,7,6,,>=99,58,,,IRR,90,900-1000,IRER,86,780-2500,,,,,,1.5,carbon IR,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Cosmic IR,shade,15,14,6,,>=99,54,,,IRR,89,900-1000,IRER,68,780-2500,,,,,,1.5,carbon IR,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Cosmic IR,shade,20,20,7,,>=99,52,,,IRR,88,900-1000,IRER,63,780-2500,,,,,,1.5,carbon IR,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Cosmic IR,shade,35,35,7,,>=99,46,,,IRR,87,900-1000,IRER,53,780-2500,,,,,,1.5,carbon IR,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,Cosmic IR,shade,50,49,7,,>=99,42,,,IRR,86,900-1000,IRER,47,780-2500,,,,,,1.5,carbon IR,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,King,shade,15,15,6,,>=99,69,,,IRR,79,900-1000,IRER,80,780-2500,,,46,,,3.0,sputtered,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
KDX,King,shade,30,30,7,,>=99,65,,,IRR,80,900-1000,IRER,75,780-2500,,,38,,,3.0,sputtered,Lifetime,,,manufacturer_web,https://kdxfilms.com/automotive-film/,,2026-08-12,verified,
